 ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, Operating Gross Margin, Realized Sales Gross Margin, Tax rate (A), Net Value Per Share (B), Net Value Per Share (A), Net Value Per Share (C), Persistent EPS in the Last Four Seasons, Operating Profit Per Share (Yuan ¥), Per Share Net profit before tax (Yuan ¥), Total Asset Return Growth Rate Ratio, Debt ratio %, Net worth/Assets, Operating profit/Paid-in capital, Net profit before tax/Paid-in capital, Operating profit per person, Working Capital to Total Assets, Quick Assets/Total Assets, Cash/Total Assets, Current Liability to Assets, Retained Earnings to Total Assets, CFO to Assets, Current Liability to Current Assets, Net Income to Total Assets, Gross Profit to Sales, Equity to Liability,Bankrupt?
0.534392824062789,0.590765372873964,0.573424701536485,0.59930238256533,0.599172660315081,0.2550865472213789,0.195946230668746,0.195946230668746,0.195946230668746,0.249030916138792,0.135412425698233,0.2067485124651649,0.264301310891982,0.160474045409197,0.8395259545908029,0.135424300161219,0.2058215820827989,0.4246172632911961,0.853148535465052,0.7461995135156191,0.0350331900755003,0.132502079017373,0.9421618215678929,0.6112916201887061,0.0257952942094725,0.8277226895058979,0.599298085181183,0.0224326507495109,0
0.526397894018427,0.586894897514174,0.566518550243589,0.6067397915795849,0.6067397915795849,0.235752606539123,0.187897686570309,0.187897686570309,0.187897686570309,0.230689231351045,0.1109030209266349,0.188898094449047,0.264058869695627,0.0644556640565952,0.935544335943405,0.110077027049033,0.187218158509916,0.400827661066009,0.8141215001479318,0.4642727217042239,0.237577722208308,0.0513874556271036,0.941995187575172,0.606996799745326,0.0168048238761532,0.828627376729205,0.606738869074294,0.0598557808106682,0
0.469702140106274,0.536851286524204,0.5210664382461591,0.595374681099468,0.595374681099468,0.3415325437797349,0.1830517045215119,0.1830517045215119,0.1830517045215119,0.216412971542025,0.0969790733653611,0.172102131505611,0.263954744310014,0.170722858784049,0.829277141215951,0.0969433452212288,0.171140939597315,0.393161620044775,0.8389990481873649,0.795755741294228,0.0924097779096504,0.1781652782469169,0.9351618252886372,0.5934303277134606,0.0309976434610133,0.7978462527582191,0.5953703611677521,0.0208638372117984,0
0.391556573879979,0.443196685564762,0.4324642646822639,0.6644950201069489,0.6644950201069489,0.0,0.162150773250179,0.162150773250179,0.162150773250179,0.202609435567741,0.0846836576825991,0.15711380582963,0.262648514659145,0.0141488043051063,0.985851195694894,0.0846320452065725,0.160312193650554,0.381832161190385,0.910420798418902,0.666840751882237,0.0350424685159976,0.018513415651626,0.917001641857663,0.522351876760073,0.0043591057631571,0.7565730661198969,0.6644912563741561,0.23395166569171,0
0.4503973090235461,0.514991277802006,0.504737941003266,0.6193732973954661,0.619041784978163,0.0,0.1767308583709069,0.1767308583709069,0.1767308583709069,0.209416658787936,0.0950248351111473,0.165097537094223,0.263660240420853,0.0785742358738701,0.92142576412613,0.0950543097692445,0.1643616620164389,0.391850026005744,0.7766435505846031,0.2046052808327439,0.112279296639428,0.0745328964343628,0.929163711026295,0.604364965385072,0.0346928767669656,0.7856839761180071,0.619371830715806,0.0489220400938951,0
0.497733144834983,0.5623092019188841,0.5536163606188771,0.6635581371884859,0.6635581371884859,0.0,0.170999957861026,0.19070183807020077,0.170999957861026,0.221707478491065,0.108215943327091,0.174738269187316,0.264875554623089,0.0319255071499834,0.9680744928500172,0.108212418779618,0.17379533971797,0.393987019741752,0.916395569244247,0.732719504184981,0.465115684767932,0.0314569246656057,0.937330714658894,0.5944299689422959,0.0068305280909965,0.81395106610459,0.66355706814048,0.11734925984827,0
0.491834446448594,0.5549498473615351,0.546549601156379,0.6007221205263841,0.6007221205263841,0.0263184532847454,0.169103704015844,0.169103704015844,0.169103704015844,0.2227474709274839,0.0970604999592867,0.17631995179634,0.263842071318119,0.18326934123409,0.81673065876591,0.0970491963456935,0.175378930699042,0.3927093462382129,0.7780274002261579,0.396011066510685,0.0339817837759707,0.1629456649229549,0.927602806218188,0.55388731034988,0.040645281481885,0.805667817279485,0.600723781435523,0.0191712254482079,0
0.484522010432409,0.5453554295682511,0.539429305637347,0.60622090257859,0.60622090257859,0.0,0.184105178879946,0.184105178879946,0.184105178879946,0.219532948851281,0.0965719403957332,0.172554040822475,0.263758926420651,0.0387882818877165,0.9612117181122828,0.0965687950885078,0.171382248699193,0.392505823025259,0.8540424172339781,0.4484550224033239,0.0446265133390984,0.0401002032028249,0.936672125324015,0.5538909111124499,0.0123052030555383,0.8039358366361908,0.606221340105209,0.0980365191424141,0
0.429434992443816,0.301024858264283,0.4374966539964671,0.6167788523904929,0.6167788523904929,0.0,0.128144620959926,0.128144620959926,0.128144620959926,0.204594875673631,0.0886735607849524,0.16268735407095,0.26707228943749,0.2097832330622489,0.790216766937751,0.0886543879362288,0.161729884624086,0.389464281676127,0.7056793324027879,0.566869639812967,0.207171260217349,0.218636643973438,0.502083994901331,0.5231551234633879,0.0628611037825415,0.633673643103844,0.616777964166852,0.0162532709390855,0
0.495880661044216,0.557293938072394,0.542266716633653,0.601298663860823,0.6012698366941011,0.229577892499241,0.18836121528802,0.18836121528802,0.18836121528802,0.2202893069868579,0.1053660125396949,0.175868042479476,0.264058869695627,0.1403694410013,0.8596305589986999,0.105338153630694,0.174858607948119,0.403767440808666,0.8558485463500309,0.67389077050614,0.0557331851648537,0.122235511085748,0.9365615833800328,0.591222465837234,0.0245042295091653,0.802715464095068,0.6012944159532371,0.0261597007102143,0
